Date,ITUB4.SA,PETR4.SA,VALE3.SA,WEGE3.SA,^BVSP
2024-11-13,26.28156089782715,29.763473510742188,50.05719757080078,51.67136764526367,127734.0
2024-11-14,26.20542335510254,30.078216552734375,49.77695846557617,51.34074783325195,127792.0
2024-11-18,26.114059448242188,30.82876205444336,50.39873123168945,51.0101203918457,127768.0
2024-11-19,26.35007667541504,30.505949020385742,50.51258087158203,51.132930755615234,128197.0
2024-11-21,25.89327049255371,30.594724655151367,50.46003341674805,50.75507354736328,126922.0
2024-11-22,25.969404220581055,31.813343048095703,50.95044708251953,51.019569396972656,129126.0
2024-11-25,25.961793899536133,31.61966323852539,50.941688537597656,49.26255798339844,129036.0
2024-11-26,26.4566650390625,31.57930564880371,50.293643951416016,49.85767364501953,129922.0
2024-11-27,25.809526443481445,31.466327667236328,50.90666580200195,49.224769592285156,127669.0
2024-11-28,24.88068389892578,31.143505096435547,50.381221771240234,49.98047637939453,124610.0
2024-11-29,24.819780349731445,31.393688201904297,51.47589111328125,50.95344161987305,125668.0
2024-12-02,24.467578887939453,31.595441818237305,51.59849166870117,50.86843490600586,125236.0
2024-12-03,24.741811752319336,31.87790870666504,51.20441818237305,51.576908111572266,126139.0
2024-12-04,24.894161224365234,31.676145553588867,50.20606994628906,51.95476150512695,126087.0
2024-12-05,25.427391052246094,31.990894317626953,50.61766815185547,51.888633728027344,127858.0
2024-12-06,24.909400939941406,31.498600006103516,49.75068664550781,52.52153396606445,125946.0
2024-12-09,25.03127670288086,32.31370544433594,52.39542007446289,52.663230895996094,127210.0
2024-12-10,25.37008285522461,32.434757232666016,52.342872619628906,53.73066329956055,128228.0
2024-12-11,25.616167068481445,32.7575798034668,51.52843475341797,55.30820083618164,129593.0
2024-12-12,24.97787857055664,32.17165756225586,50.106380462646484,54.59972381591797,126042.0
2024-12-13,24.654882431030273,31.970272064208984,49.3553581237793,54.467472076416016,124612.0
2024-12-16,24.385730743408203,31.83600616455078,49.328853607177734,53.947933197021484,123560.0
2024-12-17,24.51646614074707,32.13809585571289,49.57624816894531,54.694190979003906,124698.0
2024-12-18,23.816654205322266,31.307373046875,48.42762756347656,53.8912467956543,120772.0
2024-12-19,23.947385787963867,31.18150520324707,47.508731842041016,53.333919525146484,121188.0
2024-12-20,24.22423553466797,30.92137336730957,48.25975036621094,52.46486282348633,122102.0
2024-12-23,23.7551326751709,30.929765701293945,48.46296691894531,51.31052780151367,120767.0
2024-12-26,23.908937454223633,31.16227912902832,48.60433578491211,51.70783996582031,121078.0
2024-12-27,23.6705379486084,31.066450119018555,48.365779876708984,50.78077697753906,120269.0
2024-12-30,23.632083892822266,31.528175354003906,48.197906494140625,49.919921875,120283.0
2025-01-02,23.522550582885742,32.03346252441406,47.93283462524414,49.872623443603516,120125.0
2025-01-03,22.945453643798828,31.69370460510254,47.04044723510742,49.62666702270508,118533.0
2025-01-06,23.976539611816406,31.54560089111328,46.43962860107422,49.63612747192383,120022.0
2025-01-07,24.238149642944336,32.21641540527344,45.989013671875,50.62941360473633,121163.0
2025-01-08,23.84572410583496,31.955060958862305,45.547237396240234,50.33616256713867,119625.0
2025-01-09,23.90728759765625,32.094444274902344,45.26449966430664,51.357826232910156,119781.0
2025-01-10,23.576417922973633,32.18156433105469,45.52073287963867,50.468597412109375,118856.0
2025-01-13,23.745695114135742,32.29481887817383,45.51189422607422,50.374000549316406,119007.0
2025-01-14,23.761091232299805,32.0770263671875,45.81230163574219,50.0712776184082,119299.0
2025-01-15,24.79216957092285,32.486480712890625,46.47496795654297,51.2348518371582,122650.0
2025-01-16,24.71522331237793,32.27739334106445,46.53681945800781,50.77131271362305,121234.0
2025-01-17,24.892200469970703,32.408077239990234,48.14488983154297,51.24430847167969,122350.0
2025-01-20,25.13072967529297,32.486480712890625,47.968177795410156,52.15245819091797,122543.0
2025-01-21,25.184598922729492,32.49518966674805,47.729618072509766,52.62546157836914,123338.0
2025-01-22,25.09226417541504,32.31224822998047,46.527984619140625,53.391700744628906,122972.0
2025-01-23,25.038400650024414,32.08573913574219,46.22757339477539,54.157962799072266,122483.0
2025-01-24,24.976844787597656,31.920207977294922,46.854896545410156,54.74447250366211,122447.0
2025-01-27,25.577022552490234,32.39065170288086,47.676605224609375,50.43075942993164,124862.0
2025-01-28,25.623193740844727,32.34709930419922,46.51914978027344,51.16863250732422,124056.0
2025-01-29,25.561635971069336,32.14672088623047,46.65167999267578,51.490272521972656,123432.0
2025-01-30,26.184907913208008,32.57360076904297,48.622005462646484,53.17413330078125,126913.0
2025-01-31,26.015621185302734,32.83495330810547,47.86214828491211,52.06732177734375,126135.0
2025-02-03,25.775156021118164,32.66943359375,47.89749526977539,50.988895416259766,125970.0
2025-02-04,25.867536544799805,32.34709930419922,47.729618072509766,51.1402587890625,125147.0
2025-02-05,26.260168075561523,32.11186599731445,47.9858512878418,51.52810287475586,125534.0
2025-02-06,26.306358337402344,32.05089569091797,48.710365295410156,51.58486557006836,126225.0
2025-02-07,26.113893508911133,31.86794090270996,48.44529724121094,51.02672576904297,124619.0
2025-02-10,26.398746490478516,32.08573913574219,48.94892501831055,51.28214645385742,125572.0
2025-02-11,26.6758975982666,32.08573913574219,48.73686981201172,50.24156188964844,126522.0
2025-02-12,25.936824798583984,31.606582641601562,48.40995788574219,49.853702545166016,124380.0
2025-02-13,26.07540512084961,31.641433715820312,48.471805572509766,49.63612747192383,124850.0
2025-02-14,26.768281936645508,32.617156982421875,49.18748092651367,50.89429473876953,128219.0
2025-02-17,26.822174072265625,32.817527770996094,48.92241668701172,49.61720275878906,128869.0
2025-02-18,26.77730369567871,33.41865158081055,49.249332427978516,50.033447265625,128532.0
2025-02-19,26.52726936340332,33.48834228515625,49.20515441894531,49.390167236328125,127309.0
2025-02-20,26.45468521118164,33.540618896484375,51.016441345214844,49.28610610961914,127601.0
2025-02-21,26.3740291595459,33.44478225708008,51.387535095214844,50.09020233154297,127128.0
2025-02-24,26.228851318359375,33.20956802368164,50.91925048828125,48.76580810546875,125401.0
2025-02-25,26.495012283325195,33.06146240234375,50.42445755004883,49.56990051269531,125980.0
2025-02-26,26.430492401123047,33.06146240234375,50.11521530151367,45.26564407348633,124769.0
2025-02-27,26.40629768371582,31.894073486328125,49.74412155151367,46.25893783569336,124799.0
2025-02-28,25.76105499267578,31.30167007446289,48.72803497314453,45.80486297607422,122799.0
2025-03-05,26.14651870727539,30.160417556762695,49.116798400878906,45.35997772216797,123047.0
2025-03-06,26.19493293762207,29.84678840637207,49.65576934814453,45.007755279541016,123358.0
2025-03-07,26.30791473388672,30.169130325317383,50.380287170410156,45.588436126708984,125035.0
2025-03-10,26.54193687438965,30.160417556762695,49.56492233276367,45.38853454589844,124519.0
2025-03-11,26.30791473388672,29.707401275634766,49.9780387878418,44.360435485839844,123507.0
2025-03-12,26.38861083984375,29.707401275634766,49.3537712097168,44.93160629272461,123864.0
2025-03-13,26.81631851196289,30.00360679626465,50.03312301635742,44.49370574951172,125637.0
2025-03-14,27.687870025634766,30.92706298828125,51.676414489746094,44.49370574951172,128957.0
2025-03-17,28.519065856933594,31.50204086303711,52.420021057128906,45.35997772216797,130834.0
2025-03-18,28.67239761352539,31.528175354003906,52.80560302734375,45.35997772216797,131475.0
2025-03-19,28.743410110473633,31.50204086303711,52.71379852294922,45.8264274597168,132508.0
2025-03-20,28.477108001708984,31.57173728942871,52.54854965209961,45.59796142578125,131955.0
2025-03-21,28.539243698120117,32.059600830078125,52.74134063720703,45.55036163330078,132345.0
2025-03-24,28.56587791442871,32.01604461669922,52.46592712402344,45.16007995605469,131321.0
2025-03-25,28.796676635742188,32.2686882019043,52.64035415649414,44.816802978515625,132068.0
2025-03-26,28.485980987548828,32.57360076904297,52.961666107177734,44.57841491699219,132520.0
2025-03-27,28.5214900970459,32.817527770996094,53.383968353271484,44.23513412475586,133149.0
2025-03-28,28.130908966064453,32.60844802856445,52.842323303222656,43.720218658447266,131902.0
2025-03-31,27.882354736328125,32.37322998046875,52.05281066894531,43.176692962646484,130260.0
2025-04-01,27.889148712158203,32.49518966674805,52.502647399902344,43.24345016479492,131147.0
2025-04-02,27.89803123474121,32.408077239990234,52.26395797729492,42.81435012817383,131190.0
2025-04-03,28.395414352416992,31.362651824951172,50.37279510498047,42.213619232177734,131141.0
2025-04-04,27.658220291137695,30.099437713623047,48.3622932434082,41.68916320800781,127256.0
2025-04-07,27.711511611938477,28.905914306640625,47.78392791748047,41.956153869628906,125588.0
2025-04-08,27.72039222717285,27.877914428710938,45.167518615722656,41.956153869628906,123932.0
2025-04-09,28.226661682128906,29.010454177856445,47.600318908691406,43.300662994384766,127796.0
2025-04-10,28.11119270324707,27.207103729248047,48.454097747802734,42.823890686035156,126355.0
2025-04-11,28.25330924987793,27.747236251831055,49.26197052001953,43.024131774902344,127682.0
2025-04-14,28.71516227722168,27.6426944732666,49.904598236083984,43.69161605834961,129454.0
2025-04-15,29.079326629638672,27.00672721862793,49.39967727661133,43.69161605834961,129245.0
2025-04-16,29.034910202026367,27.00672721862793,48.25212860107422,43.710689544677734,128317.0
2025-04-17,29.08820343017578,27.54069709777832,48.545902252197266,43.815574645996094,129650.0
2025-04-22,29.65664291381836,27.60318946838379,49.40885543823242,44.09210968017578,130464.0
2025-04-23,30.278377532958984,27.29073143005371,49.996402740478516,44.1207160949707,132216.0
2025-04-24,30.864585876464844,27.16575050354004,50.776737213134766,46.33294677734375,134580.0
2025-04-25,30.749120712280273,27.246095657348633,49.436397552490234,47.57255554199219,134739.0
2025-04-28,31.077747344970703,27.13896942138672,49.61082458496094,47.982582092285156,135016.0
2025-04-29,31.326440811157227,27.28180503845215,49.427215576171875,48.12561798095703,135093.0
2025-04-30,31.601791381835938,26.772951126098633,48.52754211425781,42.56642532348633,135067.0
2025-05-02,31.51972198486328,27.504987716674805,48.47245788574219,42.35664367675781,135134.0
2025-05-05,30.959884643554688,26.478349685668945,48.61934280395508,40.55443572998047,133491.0
2025-05-06,30.7999324798584,26.915786743164062,48.656063079833984,40.954925537109375,133516.0
2025-05-07,31.13760757446289,27.040769577026367,48.56426239013672,40.001380920410156,133398.0
2025-05-08,31.386423110961914,27.415714263916016,48.41737747192383,40.24930191040039,136232.0
2025-05-09,33.08370590209961,27.59425926208496,48.610164642333984,39.848812103271484,136512.0
2025-05-12,32.417232513427734,28.254880905151367,49.831153869628906,40.68793487548828,136563.0
2025-05-13,32.817115783691406,28.68338966369629,50.64820861816406,41.956153869628906,138963.0
2025-05-14,33.03927993774414,28.48699188232422,50.40033721923828,42.02290344238281,138423.0
2025-05-15,33.48359298706055,28.451282501220703,50.9052619934082,42.118263244628906,139334.0
2025-05-16,33.6790885925293,28.585189819335938,50.94198226928711,42.909706115722656,139187.0
2025-05-19,34.07897186279297,28.549480438232422,50.80427551269531,42.4806022644043,139636.0
2025-05-20,34.0345458984375,28.66553497314453,50.813453674316406,42.4615364074707,140110.0
2025-05-21,33.35029602050781,28.344154357910156,50.16164779663086,41.43170166015625,137881.0
2025-05-22,33.11924743652344,27.969205856323242,49.785255432128906,41.6414794921875,137273.0
2025-05-23,33.519142150878906,28.03169822692871,49.86787796020508,41.66054916381836,137824.0
2025-05-26,33.5902214050293,27.942424774169922,49.583282470703125,41.69870376586914,138136.0
2025-05-27,33.8568115234375,28.14775276184082,49.427215576171875,42.51875305175781,139541.0
2025-05-28,33.581336975097656,28.05847930908203,49.03246307373047,42.58549880981445,138888.0
2025-05-29,33.31475830078125,27.88886260986328,49.069183349609375,41.97522735595703,138534.0
2025-05-30,33.261436462402344,27.585330963134766,47.829830169677734,40.38279724121094,137027.0
2025-06-02,33.02819061279297,27.746023178100586,48.25212860107422,39.90602493286133,136787.0
2025-06-03,32.921504974365234,27.75445556640625,48.22458267211914,39.76299285888672,137546.0
2025-06-04,32.84148025512695,26.991161346435547,48.444915771484375,41.15517807006836,137002.0
2025-06-05,32.4414176940918,27.00035858154297,48.57344055175781,40.563968658447266,136236.0
2025-06-06,32.52143478393555,27.285442352294922,48.63770294189453,40.59258270263672,136102.0
2025-06-09,32.352508544921875,26.82562828063965,48.92229461669922,40.850040435791016,135699.0
2025-06-10,32.30234909057617,27.634902954101562,49.25279235839844,40.33512496948242,136436.0
2025-06-11,32.59845733642578,28.554534912109375,48.821311950683594,40.32558822631836,137128.0
2025-06-12,32.84970474243164,29.19827651977539,48.5,40.29698181152344,137800.0
2025-06-13,32.45489501953125,29.915584564208984,47.85737228393555,40.42094421386719,137213.0
2025-06-16,33.0471076965332,29.62130355834961,49.41803741455078,40.563968658447266,139256.0
2025-06-17,33.2445068359375,30.292634963989258,47.19638442993164,39.48646545410156,138840.0
2025-06-18,33.0471076965332,30.265047073364258,47.04031753540039,39.91556167602539,138717.0
2025-06-20,32.876609802246094,30.182279586791992,45.8285026550293,39.70578384399414,137116.0
2025-06-23,32.80483627319336,29.428184509277344,46.40686798095703,39.75743865966797,136551.0
2025-06-24,33.4239616394043,28.84881591796875,46.39768981933594,39.604530334472656,137165.0
2025-06-25,32.82278060913086,28.701671600341797,46.34260559082031,39.96769714355469,135767.0
2025-06-26,32.58051300048828,28.931581497192383,47.7380256652832,41.16233444213867,137114.0
2025-06-27,32.54462432861328,28.701671600341797,48.536720275878906,40.474220275878906,136866.0
2025-06-30,33.1547737121582,28.85801124572754,48.334754943847656,40.88517379760742,138855.0
2025-07-01,33.305274963378906,28.959169387817383,48.98655700683594,40.61758041381836,139549.0
2025-07-02,33.03596115112305,29.47416114807129,50.767555236816406,40.550682067871094,139051.0
2025-07-03,33.85289001464844,29.5753231048584,50.528865814208984,40.818275451660156,140928.0
2025-07-04,33.8708381652832,29.538537979125977,50.675750732421875,41.09543228149414,141478.0
2025-07-07,33.4219856262207,29.483360290527344,49.9321403503418,40.455116271972656,139490.0
2025-07-08,33.341182708740234,29.906389236450195,50.1065673828125,38.81129455566406,139303.0
2025-07-09,32.64994812011719,29.72246551513672,49.61082458496094,38.33344268798828,137481.0
2025-07-10,31.644502639770508,29.648897171020508,50.74919128417969,38.13274383544922,136743.0
2025-07-11,31.38416290283203,30.007549285888672,51.41018295288086,37.98938751220703,136187.0
2025-07-14,31.330310821533203,29.612110137939453,50.822635650634766,37.77912521362305,135299.0
2025-07-15,31.438034057617188,29.3822021484375,49.491477966308594,37.912925720214844,135250.0
2025-07-16,31.59064292907715,29.23505973815918,49.941322326660156,39.2987060546875,135511.0
2025-07-17,32.06642532348633,28.940776824951172,49.849517822265625,40.225738525390625,135565.0
2025-07-18,31.482908248901367,28.49935531616211,50.08820724487305,40.493343353271484,133382.0
2025-07-21,31.850980758666992,28.554534912109375,51.456085205078125,40.111061096191406,134167.0
2025-07-22,31.420074462890625,28.83042335510254,52.7872428894043,39.489845275878906,134036.0
2025-07-23,31.770185470581055,29.418989181518555,52.71379852294922,36.326454162597656,135368.0
2025-07-24,31.473936080932617,29.373004913330078,51.89674377441406,34.62529373168945,133808.0
2025-07-25,31.60859489440918,29.409788131713867,51.134769439697266,34.56795120239258,133524.0
2025-07-28,30.944284439086914,29.446575164794922,50.63903045654297,35.27033233642578,132129.0
2025-07-29,31.123821258544922,29.83281898498535,50.3268928527832,35.12628936767578,132726.0
2025-07-30,31.482908248901367,30.13629913330078,49.427215576171875,35.385562896728516,133990.0
2025-07-31,31.563711166381836,30.01674461364746,49.078365325927734,35.63523483276367,133071.0
2025-08-01,31.37298583984375,29.62130355834961,49.3445930480957,35.702449798583984,132437.0
